Year,Venue,Name,Driver Tag,Team,Lap Time
2004,Australia,Michael Schumacher,MSC,Ferrari,01:24.1
2008,Japan,Felipe Massa,MAS,Ferrari,01:18.4
2018,Brazil,Valtteri Bottas,BOT,Mercedes,01:10.5
2005,Spain,Giancarlo Fisichella,FIS,Renault,01:15.6
2018,Austria,Kimi RÃ¤ikkÃ¶nen,RAI,Ferrari,01:07.0
2001,Monaco,David Coulthard,COU,McLaren Mercedes,01:19.4
2019,Canada,Valtteri Bottas,BOT,Mercedes,01:13.1
2020,Emilia Romagna,Lewis Hamilton,HAM,Mercedes,01:15.5
2001,Europe,Juan Pablo Montoya,MOY,Williams BMW,01:18.4
2002,Hungary,Michael Schumacher,MSC,Ferrari,01:16.2
2001,United States,Juan Pablo Montoya,MOY,Williams BMW,01:14.4
2018,Mexico,Valtteri Bottas,BOT,Mercedes,01:18.7
2004,Great Britain,Michael Schumacher,MSC,Ferrari,01:18.7
2004,Bahrain,Michael Schumacher,MSC,Ferrari,01:30.3
2004,Italy,Rubens Barrichello,BAR,Ferrari,01:21.0
2004,San Marino,Michael Schumacher,MSC,Ferrari,01:20.4
2002,France,David Coulthard,COU,McLaren Mercedes,01:15.0
2005,Turkey,Juan Pablo Montoya,MOY,McLaren Mercedes,01:24.8
2004,Germany,Kimi RÃ¤ikkÃ¶nen,RAI,McLaren Mercedes,01:13.8
2019,Abu Dhabi,Lewis Hamilton,HAM,Mercedes,01:39.3
2004,Belgium,Kimi RÃ¤ikkÃ¶nen,RAI,McLaren Mercedes,01:45.1
2020,Eifel,Max Verstappen,VER,Red Bull Racing Honda,01:28.1
2004,China,Michael Schumacher,MSC,Ferrari,01:32.2
2011,India,Sebastian Vettel,VET,Red Bull Racing Renault,01:27.2
2011,South Korea,Sebastian Vettel,VET,Red Bull Racing Renault,01:39.6
2018,Singapore,Kevin Magnussen,MAG,Haas Ferrari,01:41.9
2017,Malaysia,Sebastian Vettel,VET,Ferrari,01:34.1
2014,Russia,Valtteri Bottas,BOT,Williams Mercedes,01:40.9
2019,Azerbaijan,Charles Leclerc,LEC,Ferrari,01:43.0
2020,Styria,Carlos Sainz,SAI,McLaren Renault,01:05.6
2020,70th Anniversary,Lewis Hamilton,HAM,Mercedes,01:28.5
2020,Tuscany,Lewis Hamilton,HAM,Mercedes,01:18.8
2020,Portugal,Lewis Hamilton,HAM,Mercedes,01:18.7
2020,Sakhir,George Russell,RUS,Mercedes,55.404
,,,,,
